,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
143,0,3,11,1,0,26,14,14,5,13,14,7,0,18,11,0,0
144,0,3,8,0,2,24,18,14,6,20,12,11,0,13,9,0,0
145,0,3,8,0,1,22,18,13,5,17,11,9,0,13,8,0,0
146,0,1,5,0,5,26,24,13,16,11,9,13,0,17,13,0,0
147,0,0,5,0,2,22,21,11,10,8,8,9,0,15,10,0,0
148,0,7,11,0,0,26,14,6,0,22,8,11,0,13,14,0,0
149,0,6,9,0,0,25,11,5,0,19,5,10,0,13,13,0,0
150,0,9,14,1,9,48,48,15,8,49,48,7,0,14,10,0,0
151,0,2,12,0,0,17,2,12,3,14,11,6,0,14,8,0,0
152,0,2,15,0,2,23,9,15,14,9,10,11,0,20,13,0,0
153,0,1,14,0,1,21,7,13,12,8,9,9,0,18,12,0,0
154,0,1,12,0,1,24,12,15,11,12,16,7,0,17,7,0,0
155,0,0,12,0,0,22,11,14,9,11,15,6,0,15,7,0,0
156,0,0,13,1,0,23,28,14,9,19,20,5,0,20,5,0,0
157,0,0,12,1,0,22,25,13,9,17,19,5,0,19,2,0,0
158,0,4,10,0,1,15,18,1,1,14,14,0,0,15,7,0,0
159,0,4,9,0,0,12,15,0,0,11,12,0,0,12,6,0,0
160,0,0,1,0,0,10,12,3,3,2,8,4,0,9,2,0,0
161,0,0,2,0,0,19,15,7,11,6,12,6,0,13,2,0,0
162,0,4,10,0,1,16,5,12,1,18,5,10,0,13,11,0,0
163,0,4,7,0,0,12,3,8,0,15,3,6,0,13,9,0,0
164,0,0,2,0,0,6,2,1,1,1,4,2,0,8,2,0,0
165,0,0,9,3,0,21,4,9,12,8,13,5,0,16,5,0,0
166,0,1,6,0,7,46,48,13,8,49,47,10,0,7,4,0,0
167,0,1,5,0,0,30,23,10,5,23,20,8,0,4,3,0,0
168,0,2,11,0,0,30,22,5,9,14,22,8,0,20,10,0,0
169,0,2,9,0,0,29,20,4,7,11,21,7,0,19,8,0,0
170,0,0,4,0,0,7,8,1,1,5,7,1,0,10,4,0,0
171,0,2,14,0,0,26,17,4,7,17,19,10,0,12,8,0,0
172,0,0,7,0,0,12,5,8,3,9,5,5,0,8,4,0,0
173,0,0,10,0,0,24,11,14,4,15,11,8,0,11,9,0,0
174,0,0,1,0,3,12,9,10,7,8,4,10,0,4,5,0,0
175,0,0,0,0,1,9,7,7,6,7,4,5,0,4,4,0,0
176,0,0,8,0,0,22,13,0,0,18,14,0,0,8,6,0,0
177,0,0,9,0,0,25,22,0,1,24,25,0,0,10,10,0,0
178,0,5,18,0,2,26,8,13,9,22,11,13,0,18,11,0,0
179,0,4,14,0,2,24,8,10,8,20,11,11,0,17,11,0,0
180,0,4,15,0,0,30,20,4,5,24,27,4,0,18,7,0,0
181,0,4,13,0,0,28,18,4,4,23,25,4,0,16,5,0,0
182,0,2,5,0,0,12,8,0,1,11,7,0,0,10,7,0,0
183,0,2,4,0,0,10,4,0,0,7,5,0,0,7,5,0,0
184,0,0,12,0,0,25,29,3,4,19,26,1,0,21,11,0,0
185,0,0,12,0,0,25,27,3,4,18,25,0,0,20,11,0,0
186,0,0,1,0,2,19,11,7,8,12,12,7,0,0,2,0,0
187,0,0,0,0,2,19,9,6,8,8,9,5,0,0,0,0,0
188,0,6,9,0,3,27,25,7,7,23,19,9,0,14,12,0,0
189,0,6,9,0,2,21,22,5,5,22,18,8,0,13,11,0,0
190,0,3,14,0,0,32,26,10,3,24,32,3,0,17,8,0,0
191,0,3,10,0,0,30,24,10,2,22,28,2,0,17,8,0,0
192,0,0,4,0,0,11,10,0,1,4,9,5,0,8,2,0,0
193,0,0,8,1,1,19,17,4,11,9,19,9,0,11,2,0,0
